2014-01-14 11:00:28 Notice: Notice (8): Undefined variable: type_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 61]
2014-01-16 05:01:15 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 05:01:15 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 05:03:36 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 05:03:44 Notice: Notice (8): Undefined variable: formName in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 164]
2014-01-16 05:03:50 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 05:03:57 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 05:30:04 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 07:07:12 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 07:13:43 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 07:49:47 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-16 07:49:47 Notice: Notice (8): Undefined variable: formName in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 166]
2014-01-16 08:06:15 Notice: Notice (8): Undefined property: IssuesController::$request in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 125]
2014-01-16 08:07:01 Notice: Notice (8): Undefined property: IssuesController::$request in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 125]
2014-01-16 08:07:01 Notice: Notice (8): Trying to get property of non-object in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 125]
2014-01-16 08:07:10 Notice: Notice (8): Undefined property: IssuesController::$request in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 125]
2014-01-16 08:07:10 Notice: Notice (8): Trying to get property of non-object in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 125]
2014-01-16 08:07:54 Notice: Notice (8): Undefined property: IssuesController::$request in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 125]
